Name,Description,Muscles Involved,Related Conditions,Structures Involved,URL
Sleeper Stretch PAIL,"The sleeper stretch pail is a progressive angular isometric loading exercise used to improve shoulder internal rotation flexibility. Lie down on your side with your top leg bent in front of your for extra support. Your bottom arm will be at 80 degrees shoulder flexion and elbow bent to 90 degrees. Keep the arm planted and use your other hand to pull it gently into internal rotation. Hold this stretch for 2 minutes. In this position, your stretches arm should point towards your belt line. Following this 2 minute stretch complete an isometric contraction by pressing your stretched arm upwards into the other hand (which is used to block the movement). Depending on goals, you may hold this contraction for 2 minutes at 20-65% max effort for 2-3 repetitions, 30 seconds at 80% max effort for 2-3 repetitions, or 4-8 seconds at max effort for 4-6 repetitions. Be sure to rest an equal amount of time between repetitions.","teres minor, infraspinatus, posterior deltoid","Posterior Capsule Impingement, Shoulder Impingement, Rotator Cuff Tear (mid to late stage), Frozen Shoulder, Rotator Cuff Tendinitis",N/A,https://www.rehabhero.ca/exercise/sleeper-stretch-pail
Yoga Block External Rotation RAIL,The yoga block external rotation rail is a regressive angular isometric loading exercise used to increase range of motion and shoulder mobility. Start by lying down on a padded surface face down. Place the arm next to you at 90 degrees shoulder abduction and keep the elbow pinned to the floor. Use a yoga block to prop the wrist into external rotation. Start an isometric contraction by attempting to lift the wrist off the yoga block. Hold this contraction for 4-8 seconds at max effort for 2-6 repetitions. Be sure to rest an equal amount of time between repetitions.,"infraspinatus, teres minor, posterior deltoid",N/A,N/A,https://www.rehabhero.ca/exercise/yoga-block-external-rotation-rail
Yoga Block External Rotation PAIL,"The yoga block external rotation pail is a progressive angular isometric loading exercise used to increase range of motion and shoulder mobility. Start by lying down on a padded surface face down. Place the arm next to you at 90 degrees shoulder abduction and keep the elbow pinned to the floor. Use a yoga block to prop the wrist into external rotation. Hold a stretch in this position for 2 minutes. Follow this with an isometric contraction by pressing the wrist downwards into the yoga block. Depending on goals, you may hold this contraction for 2 minutes at 20-65% max effort for 2-3 repetitions, 30 seconds at 80% max effort for 2-3 repetitions, or 4-8 seconds at max effort for 4-6 repetitions. Be sure to rest an equal amount of time between repetitions.","subscapularis, pectoralis major, latissimus dorsi, teres major, anterior deltoid",N/A,N/A,https://www.rehabhero.ca/exercise/yoga-block-external-rotation-pail
90/90 External Rotation RAIL,The 90/90 external rotation rail is a regressive angular isometric loading exercise used to improve hip mobility. Start by going into a 90/90 position by rotating the front leg externally and the back leg internally until the knee touches the ground. Have both knees bent to 90 degrees and the back hip flexed to 90 degrees as well. Complete a contraction by attempting to lift the foot and ankle off the floor while keeping the knee pinned down to the ground. Hold this maximal contraction for 5 seconds and rest an equal amount of time between repetitions.,N/A,N/A,"hip joint capsule, hip external rotatorsgluteus maximusposterior fibers gluteus mediusquadratus femorisgemellus inferior gemellus superiorobturator internusobturator externus, gluteus maximus, posterior fibers gluteus medius, quadratus femoris, gemellus inferior, gemellus superior, obturator internus, obturator externus",https://www.rehabhero.ca/exercise/9090-external-rotation-rail
90/90 External Rotation PAIL,The 90/90 external rotation pail is a progressive angular isometric loading exercise used to improve hip mobility. Start by going into a 90/90 position by rotating the front leg externally and the back leg internally until both knees touches the ground. Have your knees bent to 90 degrees and the back hip flexed to 90 degrees as well. Hold a stretch in this position for 2 minutes. Follow this with a contraction for the front leg. Complete the contraction by attempting to drive the foot and ankle into the floor while keeping the knee pinned down to the ground. Hold this maximal contraction 4-8 seconds and rest for an equal amount of time between repetitions.,N/A,N/A,"hip joint capsule, hip internal rotatorsanterior fibers gluteus mediusgluteus minimusTFL / tensor fascia lataepectineusgracilisadductor longusadductor magnusadductor brevis, anterior fibers gluteus medius, gluteus minimus, TFL / tensor fascia latae, pectineus, gracilis, adductor longus, adductor magnus, adductor brevis",https://www.rehabhero.ca/exercise/9090-external-rotation-pail
90/90 Internal Rotation RAIL,The 90/90 internal rotation rail is a regressive angular isometric loading exercise used to improve hip mobility. Start by going into a 90/90 position by rotating the front leg internally and the back leg externally until the knee touches the ground. Have both knees bent to 90 degrees and the back hip flexed to 90 degrees as well. Hold a stretch in this position for 2 minutes. Follow this with a contraction for the front leg. Complete the contraction by attempting to lift the foot and ankle off the floor while keeping the knee pinned down to the ground. Hold this maximal contraction 4-8 seconds and rest for an equal amount of time between repetitions.,N/A,N/A,"hip joint capsule, hip internal rotatorsanterior fibers gluteus mediusgluteus minimusTFL / tensor fascia lataepectineusgracilisadductor longusadductor magnusadductor brevis, anterior fibers gluteus medius, gluteus minimus, TFL / tensor fascia latae, pectineus, gracilis, adductor longus, adductor magnus, adductor brevis",https://www.rehabhero.ca/exercise/9090-internal-rotation-rail
90/90 Internal Rotation PAIL,The 90/90 internal rotation pail is a progressive angular isometric loading exercise used to improve hip mobility. Start by going into a 90/90 position by rotating the front leg internally and the back leg externally until the knee touches the ground. Have both knees bent to 90 degrees and the back hip flexed to 90 degrees as well. Hold a stretch in this position for 2 minutes. Follow this with a contraction for the front leg. Complete the contraction by attempting to drive the foot and ankle into the floor while keeping the knee pinned down to the ground.,N/A,N/A,"hip joint capsule, hip external rotatorsgluteus maximusposterior fibers gluteus mediusquadratus femorisgemellus inferior gemellus superiorobturator internusobturator externus, gluteus maximus, posterior fibers gluteus medius, quadratus femoris, gemellus inferior, gemellus superior, obturator internus, obturator externus",https://www.rehabhero.ca/exercise/9090-internal-rotation-pail
Hip CAR,"The hip continuous articular rotation exercise is a multidirectional hip mobility exercise. You may hold onto a dowel, wall, or other stable surface to assist your balance during this exercise. Start by adducting the thigh by pulling the leg towards the midline of the body. While maintaining as much adduction as possible, raise the thigh up towards hip height allowing the knee to bend and the hip to externally rotate. Once at maximal hip flexion, begin to move the thigh outwards while maximally externally rotating the hip. Maintain maximal hip flexion as you do so. Eventually you’ll reach a point where you are unable to abduct the thigh any further, at this point begin to internally rotate the hip while maintaining as much flexion as possible. Then allow the hip to move into extension as you continue to internally rotate the thigh. Once at maximal hip extension and internal rotation, return the hip to neutral flexion without letting go of the internal rotation.",N/A,N/A,"hip joint, hip joint capsule",https://www.rehabhero.ca/exercise/hip-car
Wall Lumbar Extension,The wall lumbar extension exercise is a flexibility movement used to centralize disc pain. Start by standing arms length away from the wall with the body squared towards it. Place the palms of both hands on the wall as a stability point for this exercise. Begin by gently swaying the hips forwards while extending the low back. Hold this pain free stretch for 30 seconds to 2 minutes before returning to a neutral position.,N/A,N/A,"lumbar disc, rectus abdominus",https://www.rehabhero.ca/exercise/wall-lumbar-extension
Half Kneel Knee Flexion EQI,The half knee knee flexion eqi is an exercise used to increase end range strength. Start by going into a half knee position with the target leg being the trail leg. Use one hand to pull the ankle towards the buttocks to put the knee into maximal knee flexion. Let go of your ankle but attempt to maintain the same knee flexion angle by contracting the knee flexors with maximal effort. Continue to hold a max contraction as you begin to fail through to hold the contraction through slow dropping of your lower leg.,"hamstringssemitendinosussemimembranosusbiceps femoris, semitendinosus, semimembranosus, biceps femoris",N/A,N/A,https://www.rehabhero.ca/exercise/half-kneel-knee-flexion-eqi
